year,barrier,value,barrier_group,barrier_display
2010,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2011,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2012,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2013,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2014,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2015,ngo_register_burden,56,Barriers to entry,NGO registration burdensome
2009,ngo_register_burden,54,Barriers to entry,NGO registration burdensome
2010,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2011,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2012,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2013,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2014,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2015,ngo_register_appeal,54,Barriers to entry,"NGO registration
appeal not allowed"
2009,ngo_register_appeal,53,Barriers to entry,"NGO registration
appeal not allowed"
2008,ngo_register_burden,50,Barriers to entry,NGO registration burdensome
2008,ngo_register_appeal,50,Barriers to entry,"NGO registration
appeal not allowed"
2007,ngo_register_appeal,48,Barriers to entry,"NGO registration
appeal not allowed"
2007,ngo_register_burden,46,Barriers to entry,NGO registration burdensome
2006,ngo_register_appeal,46,Barriers to entry,"NGO registration
appeal not allowed"
2006,ngo_register_burden,45,Barriers to entry,NGO registration burdensome
2012,ngo_barrier_foreign_funds,44,Barriers to entry,"Registration barriers different
if foreign funds involved"
2013,ngo_barrier_foreign_funds,44,Barriers to entry,"Registration barriers different
if foreign funds involved"
2014,ngo_barrier_foreign_funds,44,Barriers to entry,"Registration barriers different
if foreign funds involved"
2015,ngo_barrier_foreign_funds,44,Barriers to entry,"Registration barriers different
if foreign funds involved"
2005,ngo_register_burden,43,Barriers to entry,NGO registration burdensome
2010,ngo_barrier_foreign_funds,43,Barriers to entry,"Registration barriers different
if foreign funds involved"
2011,ngo_barrier_foreign_funds,43,Barriers to entry,"Registration barriers different
if foreign funds involved"
2005,ngo_register_appeal,42,Barriers to entry,"NGO registration
appeal not allowed"
2009,ngo_barrier_foreign_funds,41,Barriers to entry,"Registration barriers different
if foreign funds involved"
2004,ngo_register_burden,40,Barriers to entry,NGO registration burdensome
2004,ngo_register_appeal,40,Barriers to entry,"NGO registration
appeal not allowed"
2003,ngo_register_burden,38,Barriers to entry,NGO registration burdensome
2008,ngo_barrier_foreign_funds,38,Barriers to entry,"Registration barriers different
if foreign funds involved"
2003,ngo_register_appeal,37,Barriers to entry,"NGO registration
appeal not allowed"
2007,ngo_barrier_foreign_funds,36,Barriers to entry,"Registration barriers different
if foreign funds involved"
2002,ngo_register_burden,35,Barriers to entry,NGO registration burdensome
2002,ngo_register_appeal,35,Barriers to entry,"NGO registration
appeal not allowed"
2006,ngo_barrier_foreign_funds,35,Barriers to entry,"Registration barriers different
if foreign funds involved"
2001,ngo_register_burden,33,Barriers to entry,NGO registration burdensome
2001,ngo_register_appeal,32,Barriers to entry,"NGO registration
appeal not allowed"
2005,ngo_barrier_foreign_funds,32,Barriers to entry,"Registration barriers different
if foreign funds involved"
2011,ngo_foreign_fund_approval,31,Barriers to funding,"Prior approval required
for foreign funds"
2012,ngo_foreign_fund_approval,31,Barriers to funding,"Prior approval required
for foreign funds"
2013,ngo_foreign_fund_approval,31,Barriers to funding,"Prior approval required
for foreign funds"
2014,ngo_foreign_fund_approval,31,Barriers to funding,"Prior approval required
for foreign funds"
2015,ngo_foreign_fund_approval,31,Barriers to funding,"Prior approval required
for foreign funds"
2000,ngo_register_burden,30,Barriers to entry,NGO registration burdensome
2010,ngo_foreign_fund_approval,30,Barriers to funding,"Prior approval required
for foreign funds"
1999,ngo_register_burden,29,Barriers to entry,NGO registration burdensome
2004,ngo_barrier_foreign_funds,29,Barriers to entry,"Registration barriers different
if foreign funds involved"
2009,ngo_foreign_fund_approval,29,Barriers to funding,"Prior approval required
for foreign funds"
2000,ngo_register_appeal,28,Barriers to entry,"NGO registration
appeal not allowed"
1997,ngo_register_burden,27,Barriers to entry,NGO registration burdensome
1998,ngo_register_burden,27,Barriers to entry,NGO registration burdensome
1998,ngo_register_appeal,27,Barriers to entry,"NGO registration
appeal not allowed"
1999,ngo_register_appeal,27,Barriers to entry,"NGO registration
appeal not allowed"
1996,ngo_register_burden,26,Barriers to entry,NGO registration burdensome
1997,ngo_register_appeal,26,Barriers to entry,"NGO registration
appeal not allowed"
2003,ngo_barrier_foreign_funds,26,Barriers to entry,"Registration barriers different
if foreign funds involved"
2008,ngo_foreign_fund_approval,26,Barriers to funding,"Prior approval required
for foreign funds"
1991,ngo_register_burden,24,Barriers to entry,NGO registration burdensome
1992,ngo_register_burden,24,Barriers to entry,NGO registration burdensome
1993,ngo_register_burden,24,Barriers to entry,NGO registration burdensome
1994,ngo_register_burden,24,Barriers to entry,NGO registration burdensome
1995,ngo_register_burden,24,Barriers to entry,NGO registration burdensome
1995,ngo_register_appeal,24,Barriers to entry,"NGO registration
appeal not allowed"
1996,ngo_register_appeal,24,Barriers to entry,"NGO registration
appeal not allowed"
2002,ngo_barrier_foreign_funds,24,Barriers to entry,"Registration barriers different
if foreign funds involved"
2006,ngo_foreign_fund_approval,24,Barriers to funding,"Prior approval required
for foreign funds"
2007,ngo_foreign_fund_approval,24,Barriers to funding,"Prior approval required
for foreign funds"
1990,ngo_register_burden,23,Barriers to entry,NGO registration burdensome
1994,ngo_register_appeal,23,Barriers to entry,"NGO registration
appeal not allowed"
1992,ngo_register_appeal,22,Barriers to entry,"NGO registration
appeal not allowed"
1993,ngo_register_appeal,22,Barriers to entry,"NGO registration
appeal not allowed"
2012,ngo_politics_foreign_fund,22,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2013,ngo_politics_foreign_fund,22,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2014,ngo_politics_foreign_fund,22,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2015,ngo_politics_foreign_fund,22,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2001,ngo_barrier_foreign_funds,21,Barriers to entry,"Registration barriers different
if foreign funds involved"
2005,ngo_foreign_fund_approval,21,Barriers to funding,"Prior approval required
for foreign funds"
2011,ngo_politics_foreign_fund,21,Barriers to advocacy,"Political barriers different
if foreign funds involved"
1990,ngo_register_appeal,20,Barriers to entry,"NGO registration
appeal not allowed"
1991,ngo_register_appeal,20,Barriers to entry,"NGO registration
appeal not allowed"
2004,ngo_foreign_fund_approval,20,Barriers to funding,"Prior approval required
for foreign funds"
2009,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2010,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2011,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2012,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2013,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2014,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2015,ngo_politics,20,Barriers to advocacy,NGOs restricted from politics
2010,ngo_politics_foreign_fund,20,Barriers to advocacy,"Political barriers different
if foreign funds involved"
2003,ngo_foreign_fund_approval,19,Barriers to funding,"Prior approval required
for foreign funds"
1989,ngo_register_burden,18,Barriers to entry,NGO registration burdensome
1989,ngo_register_appeal,18,Barriers to entry,"NGO registration
appeal not allowed"
1999,ngo_barrier_foreign_funds,18,Barriers to entry,"Registration barriers different
if foreign funds involved"
2000,ngo_barrier_foreign_funds,18,Barriers to entry,"Registration barriers different
if foreign funds involved"
2002,ngo_foreign_fund_approval,17,Barriers to funding,"Prior approval required
for foreign funds"
2011,ngo_foreign_fund_restrict,17,Barriers to funding,Foreign funds restricted
2012,ngo_foreign_fund_restrict,17,Barriers to funding,Foreign funds restricted
2013,ngo_foreign_fund_restrict,17,Barriers to funding,Foreign funds restricted
2014,ngo_foreign_fund_restrict,17,Barriers to funding,Foreign funds restricted
2015,ngo_foreign_fund_restrict,17,Barriers to funding,Foreign funds restricted
2008,ngo_politics,17,Barriers to advocacy,NGOs restricted from politics
